Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
4,Day1_3,Day1_3,2022,10,31,1500,,4,4,1,0,Enkhburen,43.6494,102.3994,90,90,500,43.64858,102.40641,0,,,,,2,1,1,,4,,,,argali,argali,,,,,,,,,0,12.27253529
4,Day1_3,Day1_3,2022,10,31,1513,,4,4,1,0,Enkhburen,43.64832,102.4007,90,120,200,43.64841,102.40269,50,,,,,2,,2,,4,,,,ibex,ibex,,,,,,,,,0,12.27253529
4,Day1_5,Day1_5,2022,10,31,1137,,1,1,1,0,Purevee,43.6063,102.44445,270,210,400,43.6063,102.44445,400,,,,,,1,,,1,,,,ibex,ibex,,,,,,,,,0,15.46923097
4,Day1_5,Day1_5,2022,10,31,1140,,2,2,1,0,Purevee,43.6063,102.44445,270,180,300,43.6063,102.44445,300,1,,,,,1,,,2,,,,argali,argali,,,,,,,,,0,15.46923097
4,Day1_5,Day1_5,2022,10,31,1158,,1,1,1,0,Purevee,43.60695,102.43717,270,180,170,43.60695,102.43717,170,,,,,1,,,,1,,,,ibex,ibex,,,,,,,,,0,15.46923097
4,Day1_5,Day1_5,2022,10,31,1318,,4,4,1,0,Purevee,43.60686,102.4095,270,180,180,43.60686,102.4095,180,,,,,1,,3,,4,,,,argali,argali,,,,,,,,,0,15.46923097
4,Day1_5,Day1_5,2022,10,31,,1231,4,,0,1,,,,,,,,,,,,,,,,,,0,Munkhjargal,43.60482,102.42514,,ibex,,,,,2,,2,,4,15.46923097
4,Day1_6,Day1_6,2022,10,31,1408,1406,10,10,1,1,Ulambayar,43.58942,102.40399,120,90,329,43.58886,102.40067,200,,,,1,7,,2,,10,Ankhbayar,43.58941,102.404,argali,argali,,,,1,7,,2,,10,16.38842369
4,Day1_6,Day1_6,2022,10,31,1436,1442,2,2,1,1,Ulambayar,43.58627,102.39113,120,80,292,43.58627,102.39113,292,,,,2,,,,,2,Ankhbayar,43.58627,102.39111,ibex,ibex,,,,2,,,,,2,16.38842369
5,Day2_1,Day2_1,2022,10,31,943,,5,5,1,0,Davaa,43.5542,102.47475,85,160,170,43.5542,102.47475,170,,,,,3,,2,,5,,,,ibex,ibex,,,,,,,,,0,11.8047723
5,Day2_1,Day2_1,2022,10,31,1315,1300,6,6,1,1,Davaa,43.54952,102.53331,250,200,350,43.54952,102.53331,350,,,1,2,2,1,,,6,jargalsaikhan,43.54923,102.53119,ibex,ibex,,,2,4,2,1,,,9,11.8047723
5,Day2_2,Day2_2,2022,10,31,1106,,5,5,1,0,Nyamsuren,43.5985,102.53872,250,180,500,43.5985,102.53872,500,,1,,,3,,1,,5,,,,argali,argali,,,,,,,,,0,12.18985162
5,Day2_2,Day2_2,2022,10,31,,1415,1,,0,1,,,,,,,,,,,,,,,,,,0,Battumur,43.59916,102.53587,,argali,,,,,1,,,,1,12.18985162
5,Day2_3,Day2_3,2022,10,31,1326,,6,6,1,0,Narangarav,43.64887,102.56082,290,340,112,43.64886,102.56083,112,1,,,,3,,2,,6,,,,ibex,ibex,,,,,,,,,0,12.94634436
5,Day2_3,Day2_3,2022,10,31,1528,,6,6,1,0,Narangarav,43.65044,102.54185,265,150,500,43.65044,102.54185,500,1,1,,,2,,2,,6,,,,ibex,ibex,,,,,,,,,0,12.94634436
5,Day2_3,Day2_3,2022,10,31,1528,,8,8,1,0,Narangarav,43.65044,102.54185,260,280,1200,43.64836,102.53092,700,,1,2,3,1,,1,,8,,,,ibex,ibex,,,,,,,,,0,12.94634436
